id,year,location_id,min_wage
1,2014,0,7.25
2,2014,1,...
3,2014,2,7.75
4,2014,4,7.9
5,2014,5,6.25
6,2014,6,9
7,2014,7,8
8,2014,8,8.7
9,2014,9,7.75
10,2014,10,7.93
11,2014,11,5.15
12,2014,13,7.25
13,2014,14,7.25
14,2014,15,8.25
15,2014,16,7.25
16,2014,17,7.25
17,2014,18,7.25
18,2014,19,7.25
19,2014,20,...
20,2014,21,7.5
21,2014,22,7.25
22,2014,23,8
23,2014,24,8.15
24,2014,25,8
25,2014,26,...
26,2014,27,7.5
27,2014,28,7.9
28,2014,29,7.25
29,2014,30,8.25
30,2014,31,7.25
31,2014,32,8.25
32,2014,33,7.5
33,2014,34,8
34,2014,35,7.25
35,2014,36,7.25
36,2014,38,7.95
37,2014,39,7.25
38,2014,40,9.1
39,2014,41,7.25
40,2014,43,8
41,2014,44,...
42,2014,45,7.25
43,2014,46,...
44,2014,47,7.25
45,2014,49,7.25
46,2014,50,8.73
47,2014,52,7.25
48,2014,53,9.32
49,2014,55,7.25
50,2014,56,7.25
51,2014,57,5.15
52,2014,54,9.5
53,2014,12,7.25
54,2014,42,7.25
55,2014,51,7.25
56,2015,0,7.25
57,2015,1,...
58,2015,2,8.75
59,2015,4,8.05
60,2015,5,7.5
61,2015,6,9
62,2015,7,8.23
63,2015,8,9.15
64,2015,9,8.25
65,2015,10,8.05
66,2015,11,5.15
67,2015,13,7.75
68,2015,14,7.25
69,2015,15,8.25
70,2015,16,7.25
71,2015,17,7.25
72,2015,18,7.25
73,2015,19,7.25
74,2015,20,...
75,2015,21,7.5
76,2015,22,8.25
77,2015,23,9
78,2015,24,8.15
79,2015,25,9
80,2015,26,...
81,2015,27,7.65
82,2015,28,8.05
83,2015,29,8
84,2015,30,8.25
85,2015,31,7.25
86,2015,32,8.38
87,2015,33,7.5
88,2015,34,8.75
89,2015,35,7.25
90,2015,36,7.25
91,2015,38,8.1
92,2015,39,7.25
93,2015,40,9.25
94,2015,41,7.25
95,2015,43,9
96,2015,44,...
97,2015,45,8.5
98,2015,46,...
99,2015,47,7.25
100,2015,49,7.25
101,2015,50,9.15
102,2015,52,7.25
103,2015,53,9.47
104,2015,55,8
105,2015,56,7.25
106,2015,57,5.15
107,2015,54,10.5
108,2015,12,8.25
109,2015,42,7.25
110,2015,51,7.25
111,2016,0,7.25
112,2016,1,...
113,2016,2,9.75
114,2016,4,8.05
115,2016,5,8
116,2016,6,10
117,2016,7,8.31
118,2016,8,9.6
119,2016,9,8.25
120,2016,10,8.05
121,2016,11,5.15
122,2016,13,8.5
123,2016,14,7.25
124,2016,15,8.25
125,2016,16,7.25
126,2016,17,7.25
127,2016,18,7.25
128,2016,19,7.25
129,2016,20,...
130,2016,21,7.5
131,2016,22,8.75
132,2016,23,10
133,2016,24,8.5
134,2016,25,9.5
135,2016,26,...
136,2016,27,7.65
137,2016,28,8.05
138,2016,29,9
139,2016,30,8.25
140,2016,31,7.25
141,2016,32,8.38
142,2016,33,7.5
143,2016,34,9
144,2016,35,7.25
145,2016,36,7.25
146,2016,38,8.1
147,2016,39,7.25
148,2016,40,9.75
149,2016,41,7.25
150,2016,43,9.6
151,2016,44,...
152,2016,45,8.55
153,2016,46,...
154,2016,47,7.25
155,2016,49,7.25
156,2016,50,9.6
157,2016,52,7.25
158,2016,53,9.47
159,2016,55,8.75
160,2016,56,7.25
161,2016,57,5.15
162,2016,54,11.5
163,2016,12,8.25
164,2016,42,7.25
165,2016,51,7.25
166,2017,0,7.25
167,2017,1,...
168,2017,2,9.8
169,2017,4,10
170,2017,5,8.5
171,2017,6,10
172,2017,7,9.3
173,2017,8,10.1
174,2017,9,8.25
175,2017,10,8.1
176,2017,11,5.15
177,2017,13,9.25
178,2017,14,7.25
179,2017,15,8.25
180,2017,16,7.25
181,2017,17,7.25
182,2017,18,7.25
183,2017,19,7.25
184,2017,20,...
185,2017,21,9
186,2017,22,8.75
187,2017,23,11
188,2017,24,8.9
189,2017,25,9.5
190,2017,26,...
191,2017,27,7.7
192,2017,28,8.15
193,2017,29,9
194,2017,30,8.25
195,2017,31,7.25
196,2017,32,8.44
197,2017,33,7.5
198,2017,34,9.7
199,2017,35,7.25
200,2017,36,7.25
201,2017,38,8.15
202,2017,39,7.25
203,2017,40,9.75
204,2017,41,7.25
205,2017,43,9.6
206,2017,44,...
207,2017,45,8.65
208,2017,46,...
209,2017,47,7.25
210,2017,49,7.25
211,2017,50,10
212,2017,52,7.25
213,2017,53,11
214,2017,55,8.75
215,2017,56,7.25
216,2017,57,5.15
217,2017,54,11.5
218,2017,12,8.25
219,2017,42,7.25
220,2017,51,7.25
221,2018,0,7.25
222,2018,1,...
223,2018,2,9.84
224,2018,4,10.5
225,2018,5,9.25
226,2018,6,11
227,2018,7,10.2
228,2018,8,10.1
229,2018,9,8.25
230,2018,10,8.25
231,2018,11,5.15
232,2018,13,10.1
233,2018,14,7.25
234,2018,15,8.25
235,2018,16,7.25
236,2018,17,7.25
237,2018,18,7.25
238,2018,19,7.25
239,2018,20,...
240,2018,21,10
241,2018,22,10.1
242,2018,23,11
243,2018,24,9.25
244,2018,25,9.86
245,2018,26,...
246,2018,27,7.85
247,2018,28,8.3
248,2018,29,9
249,2018,30,8.25
250,2018,31,7.25
251,2018,32,8.6
252,2018,33,7.5
253,2018,34,10.4
254,2018,35,7.25
255,2018,36,7.25
256,2018,38,8.3
257,2018,39,7.25
258,2018,40,10.75
259,2018,41,7.25
260,2018,43,10.1
261,2018,44,...
262,2018,45,8.85
263,2018,46,...
264,2018,47,7.25
265,2018,49,7.25
266,2018,50,10.5
267,2018,52,7.25
268,2018,53,11.5
269,2018,55,8.75
270,2018,56,7.25
271,2018,57,5.15
272,2018,54,13.25
273,2018,12,8.25
274,2018,42,7.25
275,2018,51,7.25
276,2019,0,7.25
277,2019,1,...
278,2019,2,10.19
279,2019,4,12
280,2019,5,10
281,2019,6,12
282,2019,7,12
283,2019,8,11
284,2019,9,9.25
285,2019,10,8.56
286,2019,11,5.15
287,2019,13,10.1
288,2019,14,7.25
289,2019,15,9.25
290,2019,16,7.25
291,2019,17,7.25
292,2019,18,7.25
293,2019,19,7.25
294,2019,20,...
295,2019,21,12
296,2019,22,11
297,2019,23,12.75
298,2019,24,9.65
299,2019,25,10
300,2019,26,...
301,2019,27,9.45
302,2019,28,8.65
303,2019,29,9
304,2019,30,8.25
305,2019,31,7.25
306,2019,32,11
307,2019,33,9
308,2019,34,11.8
309,2019,35,7.25
310,2019,36,7.25
311,2019,38,8.7
312,2019,39,7.25
313,2019,40,11.25
314,2019,41,7.25
315,2019,43,10.5
316,2019,44,...
317,2019,45,9.3
318,2019,46,...
319,2019,47,7.25
320,2019,49,7.25
321,2019,50,10.96
322,2019,52,7.25
323,2019,53,13.5
324,2019,55,8.75
325,2019,56,7.25
326,2019,57,5.15
327,2019,54,14
328,2019,12,8.25
329,2019,42,7.25
330,2019,51,10.5
