location_id,location_name
,
0,United States
1,Alabama
2,Alaska
3,American Samoa
4,Arizona
5,Arkansas
6,California
7,Colorado
8,Connecticut
9,Delaware
10,Florida
11,Georgia
12,Guam
13,Hawaii
14,Idaho
15,Illinois
16,Indiana
17,Iowa
18,Kansas
19,Kentucky
20,Louisiana
21,Maine
22,Maryland
23,Massachusetts
24,Michigan
25,Minnesota
26,Mississippi
27,Missouri
28,Montana
29,Nebraska
30,Nevada
31,New Hampshire
32,New Jersey
33,New Mexico
34,New York
35,North Carolina
36,North Dakota
37,Northern Mariana Islands
38,Ohio
39,Oklahoma
40,Oregon
41,Pennsylvania
42,puerto Rico
43,Rhode Island
44,South Carolina
45,South Dakota
46,Tennessee
47,Texas
48,United States
49,Utah
50,Vermont
51,Virgin Islands
52,Virginia
53,Washington
54,"Washington, D.C."
55,West Virginia
56,Wisconsin
57,Wyoming
