id,Location ID,Year,Median Income
,,,
0,0,2014,53657
1,1,2014,42830
2,2,2014,71583
3,3,2014,23892
4,4,2014,50068
5,5,2014,41262
6,6,2014,61933
7,7,2014,61303
8,8,2014,70048
9,9,2014,59716
10,10,2014,47463
11,11,2014,49321
12,12,2014,48274
13,13,2014,69592
14,14,2014,47861
15,15,2014,57444
16,16,2014,49446
17,17,2014,53712
18,18,2014,52504
19,19,2014,42958
20,20,2014,44555
21,21,2014,49462
22,22,2014,73971
23,23,2014,69160
24,24,2014,49847
25,25,2014,61481
26,26,2014,39680
27,27,2014,48363
28,28,2014,46328
29,29,2014,52686
30,30,2014,51450
31,31,2014,66532
32,32,2014,71919
33,33,2014,44803
34,34,2014,58878
35,35,2014,46556
36,36,2014,59029
37,37,2014,19958
38,38,2014,49308
39,39,2014,47529
40,40,2014,51075
41,41,2014,53234
42,42,2014,18928
43,43,2014,54891
44,44,2014,45238
45,45,2014,50979
46,46,2014,44361
47,47,2014,53035
48,48,2014,53657
49,49,2014,60922
50,50,2014,54166
51,51,2014,37254
52,52,2014,64902
53,53,2014,61366
54,54,2014,71648
55,55,2014,41059
56,56,2014,52622
57,57,2014,57055
58,0,2015,55775
59,1,2015,44765
60,2,2015,73355
61,3,2015,
62,4,2015,51492
63,5,2015,41995
64,6,2015,64500
65,7,2015,63909
66,8,2015,71346
67,9,2015,61255
68,10,2015,49426
69,11,2015,51244
70,12,2015,
71,13,2015,73486
72,14,2015,48275
73,15,2015,59588
74,16,2015,50532
75,17,2015,54736
76,18,2015,53906
77,19,2015,45215
78,20,2015,45727
79,21,2015,51494
80,22,2015,75847
81,23,2015,70628
82,24,2015,51084
83,25,2015,63488
84,26,2015,40593
85,27,2015,50238
86,28,2015,49509
87,29,2015,54996
88,30,2015,52431
89,31,2015,70303
90,32,2015,72222
91,33,2015,45382
92,34,2015,60850
93,35,2015,47830
94,36,2015,60557
95,37,2015,
96,38,2015,51075
97,39,2015,48568
98,40,2015,54148
99,41,2015,55702
100,42,2015,18626
101,43,2015,58073
102,44,2015,47238
103,45,2015,53017
104,46,2015,47275
105,47,2015,55653
106,48,2015,55775
107,49,2015,62912
108,50,2015,56990
109,51,2015,
110,52,2015,66262
111,53,2015,64129
112,54,2015,75628
113,55,2015,42019
114,56,2015,55638
115,57,2015,60214
116,0,2016,57617
117,1,2016,46257
118,2,2016,76440
119,3,2016,
120,4,2016,53558
121,5,2016,44334
122,6,2016,67739
123,7,2016,65685
124,8,2016,73433
125,9,2016,61757
126,10,2016,50860
127,11,2016,53559
128,12,2016,
129,13,2016,74511
130,14,2016,51807
131,15,2016,60960
132,16,2016,52314
133,17,2016,56247
134,18,2016,54935
135,19,2016,46659
136,20,2016,45146
137,21,2016,53079
138,22,2016,78945
139,23,2016,75297
140,24,2016,52491
141,25,2016,65599
142,26,2016,41754
143,27,2016,51746
144,28,2016,50027
145,29,2016,56927
146,30,2016,55180
147,31,2016,70936
148,32,2016,76126
149,33,2016,46748
150,34,2016,62909
151,35,2016,50584
152,36,2016,60656
153,37,2016,
154,38,2016,52344
155,39,2016,49176
156,40,2016,57532
157,41,2016,56907
158,42,2016,20078
159,43,2016,60596
160,44,2016,49501
161,45,2016,54467
162,46,2016,48547
163,47,2016,56565
164,48,2016,57617
165,49,2016,65977
166,50,2016,57677
167,51,2016,
168,52,2016,68114
169,53,2016,67106
170,54,2016,75506
171,55,2016,43385
172,56,2016,56811
173,57,2016,59882
174,0,2017,60336
175,1,2017,48123
176,2,2017,73181
177,3,2017,
178,4,2017,56581
179,5,2017,45869
180,6,2017,71805
181,7,2017,69117
182,8,2017,74168
183,9,2017,62852
184,10,2017,52594
185,11,2017,56183
186,12,2017,
187,13,2017,77765
188,14,2017,52225
189,15,2017,62992
190,16,2017,54181
191,17,2017,58570
192,18,2017,56422
193,19,2017,48375
194,20,2017,46145
195,21,2017,55277
196,22,2017,80776
197,23,2017,77385
198,24,2017,54909
199,25,2017,68388
200,26,2017,43529
201,27,2017,53578
202,28,2017,53386
203,29,2017,59970
204,30,2017,58003
205,31,2017,73381
206,32,2017,80088
207,33,2017,46744
208,34,2017,64894
209,35,2017,52752
210,36,2017,61843
211,37,2017,
212,38,2017,54021
213,39,2017,50051
214,40,2017,60212
215,41,2017,59105
216,42,2017,19343
217,43,2017,63870
218,44,2017,50570
219,45,2017,56521
220,46,2017,51340
221,47,2017,59206
222,48,2017,60336
223,49,2017,65358
224,50,2017,57513
225,51,2017,
226,52,2017,71535
227,53,2017,70979
228,54,2017,82372
229,55,2017,43469
230,56,2017,59305
231,57,2017,60434
232,0,2018,63179
233,1,2018,49861
234,2,2018,74346
235,3,2018,
236,4,2018,59246
237,5,2018,47062
238,6,2018,75277
239,7,2018,71953
240,8,2018,76348
241,9,2018,64805
242,10,2018,55462
243,11,2018,58756
244,12,2018,
245,13,2018,80212
246,14,2018,55583
247,15,2018,65030
248,16,2018,55746
249,17,2018,59955
250,18,2018,58218
251,19,2018,50247
252,20,2018,47905
253,21,2018,55602
254,22,2018,83242
255,23,2018,79835
256,24,2018,56697
257,25,2018,70315
258,26,2018,44717
259,27,2018,54478
260,28,2018,55328
261,29,2018,59566
262,30,2018,58646
263,31,2018,74991
264,32,2018,81740
265,33,2018,47169
266,34,2018,67844
267,35,2018,53855
268,36,2018,63837
269,37,2018,
270,38,2018,56111
271,39,2018,51924
272,40,2018,63426
273,41,2018,60905
274,42,2018,20296
275,43,2018,64340
276,44,2018,52306
277,45,2018,56274
278,46,2018,52375
279,47,2018,60629
280,48,2018,63179
281,49,2018,71414
282,50,2018,60782
283,51,2018,
284,52,2018,72577
285,53,2018,74073
286,54,2018,85203
287,55,2018,44097
288,56,2018,60773
289,57,2018,61584
